"state","fam_income","race","age","sex","emp","fullpart","work","travel","household","pcare","leisure","race.new","income.new"
"New Jersey","$100,000 to $149,999","White only",35,"Male","Employed - at work","Full time",950,10,0,405,0,"White only","$100k+"
"Delaware","$100,000 to $149,999","White only",32,"Female","Employed - at work","Full time",450,60,60,660,190,"White only","$100k+"
"Montana","$20,000 to $24,999","White only",36,"Male","Employed - at work","Part time",0,10,105,720,320,"White only","Below $25k"
"New York","$30,000 to $34,999","White only",33,"Female","Employed - at work","Full time",0,0,60,660,700,"White only","$25k-$50k"
"Vermont","$50,000 to $59,999","White only",41,"Female","Employed - at work","Full time",683,0,27,550,140,"White only","$50k-$75k"
"Minnesota","$30,000 to $34,999","White only",37,"Female","Employed - at work","Full time",0,40,30,690,330,"White only","$25k-$50k"
"Indiana","$40,000 to $49,999","White only",15,"Male","Employed - at work","Part time",0,54,0,580,361,"White only","$25k-$50k"
"Minnesota","$25,000 to $29,999","Asian only",46,"Female","Employed - at work","Full time",0,114,290,559,90,"Asian only","$25k-$50k"
"Texas","$20,000 to $24,999","White only",28,"Male","Employed - at work","Full time",0,120,150,465,90,"White only","Below $25k"
"Colorado","$75,000 to $99,999","White only",17,"Female","Employed - at work","Part time",0,10,10,780,194,"White only","$75k-$100k"
"Nevada","$40,000 to $49,999","White only",46,"Female","Employed - at work","Full time",0,20,225,665,225,"White only","$25k-$50k"
"California","$150,000 and over","White only",40,"Female","Employed - at work","Full time",20,85,0,840,340,"White only","$100k+"
"Tennessee","$50,000 to $59,999","White only",42,"Female","Employed - at work","Full time",360,85,163,560,245,"White only","$50k-$75k"
"Massachusetts","$100,000 to $149,999","White only",37,"Male","Employed - at work","Full time",90,137,30,500,430,"White only","$100k+"
"Ohio","$100,000 to $149,999","White only",48,"Female","Employed - at work","Part time",595,75,110,540,60,"White only","$100k+"
"California","$15,000 to $19,999","White only",26,"Female","Employed - at work","Part time",0,20,150,620,405,"White only","Below $25k"
"California","$100,000 to $149,999","Hawaiian Pacific Islander only",37,"Male","Employed - at work","Full time",60,182,135,338,225,"Mixed/Other","$100k+"
"Virginia","$150,000 and over","White only",43,"Female","Employed - at work","Full time",0,54,120,660,294,"White only","$100k+"
"Massachusetts","$100,000 to $149,999","White only",39,"Female","Employed - at work","Full time",0,80,260,550,360,"White only","$100k+"
"Illinois","$60,000 to $74,999","White only",30,"Male","Employed - at work","Full time",0,10,170,465,130,"White only","$50k-$75k"
"Iowa","$75,000 to $99,999","White only",31,"Male","Employed - at work","Full time",0,34,0,583,465,"White only","$75k-$100k"
"Florida","$75,000 to $99,999","Black only",34,"Female","Employed - at work","Full time",90,40,125,680,160,"Black only","$75k-$100k"
"New York","$10,000 to $12,499","Black only",31,"Female","Employed - at work","Full time",240,40,135,640,210,"Black only","Below $25k"
"Florida","$60,000 to $74,999","White only",46,"Female","Employed - at work","Full time",0,170,65,645,325,"White only","$50k-$75k"
"Iowa","$75,000 to $99,999","White only",29,"Female","Employed - at work","Full time",545,100,32,440,140,"White only","$75k-$100k"
"New York","$100,000 to $149,999","Black only",34,"Male","Employed - at work","Full time",870,60,0,435,30,"Black only","$100k+"
"California","$50,000 to $59,999","White only",36,"Female","Employed - at work","Full time",0,35,60,720,480,"White only","$50k-$75k"
"Kentucky","$10,000 to $12,499","Black only",38,"Female","Employed - at work","Full time",295,45,0,510,550,"Black only","Below $25k"
"Illinois","$25,000 to $29,999","White only",19,"Female","Employed - at work","Full time",430,135,0,420,450,"White only","$25k-$50k"
"Illinois","$75,000 to $99,999","White only",46,"Male","Employed - at work","Full time",20,45,95,600,60,"White only","$75k-$100k"
"California","$150,000 and over","Asian only",39,"Male","Employed - at work","Full time",0,100,120,630,300,"Asian only","$100k+"
"Texas","$40,000 to $49,999","White only",28,"Male","Employed - at work","Full time",0,60,380,715,180,"White only","$25k-$50k"
"Texas","$150,000 and over","White only",47,"Male","Employed - at work","Full time",90,70,0,485,652,"White only","$100k+"
"New Jersey","$15,000 to $19,999","White only",30,"Male","Employed - at work","Full time",30,80,65,630,305,"White only","Below $25k"
"Maryland","$15,000 to $19,999","White-Black",24,"Female","Employed - at work","Part time",0,279,21,625,403,"Mixed/Other","Below $25k"
"Colorado","$150,000 and over","Asian only",45,"Female","Employed - at work","Full time",500,85,60,608,70,"Asian only","$100k+"
"District of Columbia","$35,000 to $39,999","White only",38,"Male","Employed - at work","Full time",0,95,0,660,335,"White only","$25k-$50k"
"Washington","$100,000 to $149,999","White only",32,"Female","Employed - at work","Full time",592,100,77,456,145,"White only","$100k+"
"Florida","$150,000 and over","White only",38,"Male","Employed - at work","Full time",30,181,120,587,120,"White only","$100k+"
"California","$75,000 to $99,999","White only",39,"Female","Employed - at work","Full time",0,200,140,540,345,"White only","$75k-$100k"
"Washington","$100,000 to $149,999","White only",38,"Female","Employed - at work","Full time",0,20,15,735,605,"White only","$100k+"
"Maryland","$40,000 to $49,999","White only",29,"Female","Employed - at work","Full time",480,90,35,540,170,"White only","$25k-$50k"
"Iowa","$75,000 to $99,999","White only",25,"Female","Employed - at work","Full time",0,156,170,600,154,"White only","$75k-$100k"
"California","$150,000 and over","Asian only",41,"Male","Employed - at work","Full time",480,90,15,545,100,"Asian only","$100k+"
"Minnesota","$60,000 to $74,999","White only",26,"Female","Employed - at work","Full time",488,20,105,510,90,"White only","$50k-$75k"
"Texas","$40,000 to $49,999","White only",29,"Male","Employed - at work","Full time",350,108,103,425,186,"White only","$25k-$50k"
"New York","$25,000 to $29,999","White only",47,"Female","Employed - at work","Full time",635,30,5,625,35,"White only","$25k-$50k"
"Georgia","$40,000 to $49,999","White only",21,"Male","Employed - at work","Part time",480,50,0,760,0,"White only","$25k-$50k"
"Florida","$30,000 to $34,999","White only",41,"Male","Employed - at work","Full time",0,10,165,605,630,"White only","$25k-$50k"
"Tennessee","$100,000 to $149,999","White only",24,"Male","Employed - absent","Full time",235,110,0,530,550,"White only","$100k+"
"New Hampshire","$40,000 to $49,999","White only",37,"Female","Employed - at work","Full time",0,6,135,572,30,"White only","$25k-$50k"
"Wisconsin","$100,000 to $149,999","White only",40,"Female","Employed - at work","Full time",0,105,30,900,90,"White only","$100k+"
"Michigan","$20,000 to $24,999","White only",45,"Female","Employed - at work","Full time",854,20,0,555,0,"White only","Below $25k"
"Texas","$50,000 to $59,999","White only",40,"Male","Employed - at work","Full time",0,145,240,590,120,"White only","$50k-$75k"
"Illinois","$100,000 to $149,999","White only",34,"Female","Employed - at work","Full time",0,120,180,525,230,"White only","$100k+"
"New Jersey","$35,000 to $39,999","Black only",32,"Female","Employed - at work","Full time",0,70,30,690,550,"Black only","$25k-$50k"
"Virginia","$150,000 and over","White only",42,"Female","Employed - at work","Full time",380,40,50,540,215,"White only","$100k+"
"Ohio","Less than $5,000","Black only",20,"Male","Employed - at work","Part time",0,90,0,545,615,"Black only","Below $25k"
"Ohio","$35,000 to $39,999","White only",28,"Female","Employed - at work","Full time",0,80,0,725,635,"White only","$25k-$50k"
"New Jersey","$35,000 to $39,999","White only",43,"Female","Employed - at work","Part time",330,45,60,570,370,"White only","$25k-$50k"
"Washington","$150,000 and over","White only",45,"Female","Employed - at work","Full time",120,115,55,600,460,"White only","$100k+"
"Wisconsin","$10,000 to $12,499","Black only",47,"Male","Employed - at work","Full time",440,50,0,235,700,"Black only","Below $25k"
"Minnesota","$40,000 to $49,999","White only",49,"Male","Employed - at work","Full time",0,10,120,720,515,"White only","$25k-$50k"
"Texas","$75,000 to $99,999","White only",35,"Male","Employed - at work","Full time",450,110,0,615,210,"White only","$75k-$100k"
"Virginia","$150,000 and over","White only",46,"Female","Employed - at work","Full time",435,52,140,475,60,"White only","$100k+"
"New Jersey","$12,500 to $14,999","White only",47,"Male","Employed - at work","Full time",449,24,105,570,232,"White only","Below $25k"
"Florida","$25,000 to $29,999","Black only",45,"Female","Employed - at work","Full time",0,104,30,570,345,"Black only","$25k-$50k"
"Illinois","$60,000 to $74,999","White only",46,"Female","Employed - at work","Full time",505,56,21,510,195,"White only","$50k-$75k"
"New York","$60,000 to $74,999","White only",28,"Female","Employed - at work","Full time",15,65,0,525,815,"White only","$50k-$75k"
"Arizona","$20,000 to $24,999","White only",37,"Female","Employed - at work","Full time",120,20,145,775,315,"White only","Below $25k"
"West Virginia","$40,000 to $49,999","White only",34,"Male","Employed - at work","Full time",0,0,210,495,680,"White only","$25k-$50k"
"Massachusetts","$100,000 to $149,999","White only",39,"Female","Employed - at work","Full time",0,10,183,474,372,"White only","$100k+"
"Hawaii","$150,000 and over","White only",40,"Male","Employed - at work","Full time",0,80,64,510,733,"White only","$100k+"
"Missouri","$100,000 to $149,999","White only",48,"Female","Employed - at work","Full time",0,165,545,60,250,"White only","$100k+"
"Maryland","$75,000 to $99,999","Asian only",46,"Male","Employed - at work","Full time",30,42,65,420,445,"Asian only","$75k-$100k"
"Nevada","$75,000 to $99,999","White only",38,"Female","Employed - at work","Part time",0,0,300,650,390,"White only","$75k-$100k"
"Massachusetts","$100,000 to $149,999","Black only",40,"Male","Employed - at work","Full time",0,20,255,533,410,"Black only","$100k+"
"Maryland","$75,000 to $99,999","Black only",42,"Male","Employed - at work","Full time",0,140,0,540,390,"Black only","$75k-$100k"
"District of Columbia","$75,000 to $99,999","White only",38,"Female","Employed - at work","Full time",0,60,170,770,420,"White only","$75k-$100k"
"Colorado","$60,000 to $74,999","White only",35,"Male","Employed - at work","Full time",0,0,147,615,360,"White only","$50k-$75k"
"Florida","$35,000 to $39,999","White only",40,"Male","Employed - at work","Full time",0,205,225,675,100,"White only","$25k-$50k"
"Texas","$40,000 to $49,999","White only",47,"Female","Employed - at work","Full time",10,0,140,615,630,"White only","$25k-$50k"
"Massachusetts","$25,000 to $29,999","White only",48,"Male","Employed - at work","Full time",0,40,15,650,300,"White only","$25k-$50k"
"South Carolina","$150,000 and over","White only",46,"Female","Employed - at work","Part time",525,70,105,345,150,"White only","$100k+"
"Hawaii","$7,500 to $9,999","Asian only",35,"Female","Employed - at work","Full time",460,40,45,585,239,"Asian only","Below $25k"
"New Mexico","$40,000 to $49,999","White only",47,"Male","Employed - at work","Full time",675,60,0,480,210,"White only","$25k-$50k"
"Georgia","$100,000 to $149,999","White only",32,"Female","Employed - at work","Full time",425,130,25,620,185,"White only","$100k+"
"Kentucky","$50,000 to $59,999","White only",38,"Male","Employed - at work","Full time",552,124,2,285,312,"White only","$50k-$75k"
"California","$35,000 to $39,999","Asian only",32,"Female","Employed - at work","Full time",480,130,60,590,45,"Asian only","$25k-$50k"
"Utah","$150,000 and over","White only",26,"Female","Employed - at work","Part time",0,4,0,705,184,"White only","$100k+"
"California","$20,000 to $24,999","Asian only",42,"Female","Employed - absent","Full time",0,0,55,875,180,"Asian only","Below $25k"
"Pennsylvania","$35,000 to $39,999","White only",49,"Female","Employed - at work","Full time",625,40,20,500,45,"White only","$25k-$50k"
"Iowa","$50,000 to $59,999","White only",34,"Female","Employed - at work","Full time",360,200,60,302,265,"White only","$50k-$75k"
"Illinois","$100,000 to $149,999","White only",39,"Male","Employed - at work","Full time",0,177,10,695,320,"White only","$100k+"
"Virginia","$60,000 to $74,999","White only",37,"Male","Employed - at work","Full time",725,30,170,355,45,"White only","$50k-$75k"
"New York","$100,000 to $149,999","White only",25,"Female","Employed - at work","Full time",440,60,40,725,95,"White only","$100k+"
"South Carolina","$15,000 to $19,999","White only",40,"Female","Employed - at work","Full time",0,10,465,600,330,"White only","Below $25k"
"Rhode Island","$150,000 and over","White only",40,"Female","Employed - at work","Full time",655,10,50,540,115,"White only","$100k+"
"Maine","$30,000 to $34,999","White only",41,"Female","Employed - at work","Full time",270,55,240,695,120,"White only","$25k-$50k"
"California","$60,000 to $74,999","White only",35,"Male","Employed - at work","Full time",615,55,60,510,75,"White only","$50k-$75k"
"Pennsylvania","$40,000 to $49,999","Black only",42,"Female","Employed - at work","Full time",0,0,20,780,625,"Black only","$25k-$50k"
"Oregon","$25,000 to $29,999","White only",28,"Male","Employed - at work","Full time",488,152,0,500,75,"White only","$25k-$50k"
"Texas","$10,000 to $12,499","White only",23,"Female","Employed - at work","Full time",0,176,250,480,439,"White only","Below $25k"
"Washington","$150,000 and over","White only",17,"Male","Employed - absent","Part time",0,315,0,555,480,"White only","$100k+"
"Iowa","$75,000 to $99,999","White only",47,"Male","Employed - at work","Full time",470,108,162,380,215,"White only","$75k-$100k"
"Virginia","$50,000 to $59,999","Black only",23,"Female","Employed - at work","Part time",338,51,39,843,95,"Black only","$50k-$75k"
"Georgia","$60,000 to $74,999","White only",43,"Female","Employed - at work","Part time",0,115,545,640,30,"White only","$50k-$75k"
"Virginia","$12,500 to $14,999","White only",20,"Male","Employed - at work","Full time",0,0,0,720,540,"White only","Below $25k"
"California","$150,000 and over","Asian only",37,"Female","Employed - at work","Full time",460,160,20,490,270,"Asian only","$100k+"
"Delaware","$30,000 to $34,999","White only",47,"Male","Employed - at work","Full time",0,110,0,600,565,"White only","$25k-$50k"
"Kansas","$40,000 to $49,999","White only",18,"Male","Employed - at work","Part time",0,71,15,465,270,"White only","$25k-$50k"
"New York","$75,000 to $99,999","Asian only",33,"Male","Employed - at work","Full time",625,130,0,510,155,"Asian only","$75k-$100k"
"Alabama","$30,000 to $34,999","White only",24,"Male","Employed - at work","Full time",0,225,60,540,270,"White only","$25k-$50k"
"California","$60,000 to $74,999","White only",29,"Female","Employed - at work","Full time",0,35,0,690,635,"White only","$50k-$75k"
"Illinois","$30,000 to $34,999","White only",27,"Male","Employed - at work","Full time",402,43,0,377,537,"White only","$25k-$50k"
"Wyoming","$60,000 to $74,999","White only",34,"Male","Employed - at work","Full time",485,80,44,577,120,"White only","$50k-$75k"
"Missouri","$60,000 to $74,999","White only",43,"Female","Employed - at work","Full time",60,20,105,715,300,"White only","$50k-$75k"
"New York","$75,000 to $99,999","Asian only",30,"Female","Employed - at work","Full time",622,176,30,511,0,"Asian only","$75k-$100k"
"Texas","$30,000 to $34,999","White only",35,"Female","Employed - at work","Full time",450,130,10,710,120,"White only","$25k-$50k"
"California","$15,000 to $19,999","White only",20,"Male","Employed - at work","Part time",0,50,40,750,418,"White only","Below $25k"
"Connecticut","$50,000 to $59,999","White only",45,"Male","Employed - at work","Full time",165,135,105,540,345,"White only","$50k-$75k"
"Pennsylvania","$60,000 to $74,999","White only",31,"Male","Employed - at work","Full time",475,198,0,459,160,"White only","$50k-$75k"
"Colorado","$150,000 and over","White only",45,"Male","Employed - at work","Full time",0,46,75,660,407,"White only","$100k+"
"North Carolina","$60,000 to $74,999","White only",31,"Male","Employed - at work","Full time",0,20,0,515,450,"White only","$50k-$75k"
"Indiana","$150,000 and over","White only",45,"Female","Employed - at work","Full time",505,120,37,345,300,"White only","$100k+"
"California","$150,000 and over","White only",34,"Female","Employed - at work","Part time",390,45,115,490,100,"White only","$100k+"
"Georgia","$75,000 to $99,999","White only",41,"Female","Employed - at work","Full time",425,30,0,660,283,"White only","$75k-$100k"
"Michigan","$100,000 to $149,999","White only",44,"Female","Employed - at work","Full time",625,65,70,435,75,"White only","$100k+"
"Michigan","$75,000 to $99,999","White only",37,"Male","Employed - at work","Full time",0,56,200,540,264,"White only","$75k-$100k"
"New Jersey","$75,000 to $99,999","Black only",34,"Male","Employed - at work","Full time",0,90,60,330,770,"Black only","$75k-$100k"
"New York","$60,000 to $74,999","White only",38,"Female","Employed - at work","Full time",0,0,440,720,240,"White only","$50k-$75k"
"Pennsylvania","$100,000 to $149,999","White only",39,"Female","Employed - at work","Full time",776,80,61,420,0,"White only","$100k+"
"California","$30,000 to $34,999","White only",28,"Female","Employed - at work","Full time",560,20,45,120,300,"White only","$25k-$50k"
"Pennsylvania","$60,000 to $74,999","White only",30,"Female","Employed - at work","Full time",473,80,52,685,120,"White only","$50k-$75k"
"Minnesota","$40,000 to $49,999","White only",34,"Male","Employed - at work","Full time",490,45,0,460,285,"White only","$25k-$50k"
"Wisconsin","$12,500 to $14,999","White only",44,"Male","Employed - at work","Full time",500,0,115,495,205,"White only","Below $25k"
"New York","$150,000 and over","White only",36,"Male","Employed - at work","Full time",220,55,75,540,300,"White only","$100k+"
"Missouri","$60,000 to $74,999","White only",29,"Female","Employed - at work","Full time",59,81,80,640,380,"White only","$50k-$75k"
"California","$50,000 to $59,999","White only",45,"Female","Employed - at work","Full time",0,62,67,456,373,"White only","$50k-$75k"
"Pennsylvania","$40,000 to $49,999","White only",44,"Male","Employed - at work","Full time",570,110,30,525,125,"White only","$25k-$50k"
"Michigan","$75,000 to $99,999","White only",41,"Female","Employed - at work","Full time",562,80,0,575,110,"White only","$75k-$100k"
"Kentucky","$20,000 to $24,999","White only",38,"Female","Employed - at work","Full time",0,54,90,720,209,"White only","Below $25k"
"California","$75,000 to $99,999","Asian only",29,"Female","Employed - at work","Full time",0,270,90,510,375,"Asian only","$75k-$100k"
"Mississippi","$25,000 to $29,999","Black only",42,"Male","Employed - at work","Full time",670,110,15,510,60,"Black only","$25k-$50k"
"Virginia","$50,000 to $59,999","White only",24,"Female","Employed - at work","Full time",240,20,45,1105,0,"White only","$50k-$75k"
"Missouri","$150,000 and over","White only",46,"Female","Employed - at work","Part time",75,40,201,534,25,"White only","$100k+"
"New York","$40,000 to $49,999","White only",29,"Male","Employed - absent","Full time",0,8,185,420,227,"White only","$25k-$50k"
"Tennessee","$40,000 to $49,999","Black only",45,"Female","Employed - at work","Full time",480,90,95,460,235,"Black only","$25k-$50k"
"Illinois","$75,000 to $99,999","White only",30,"Female","Employed - at work","Full time",5,80,90,540,435,"White only","$75k-$100k"
"Texas","$40,000 to $49,999","White only",27,"Female","Employed - at work","Full time",400,65,60,510,155,"White only","$25k-$50k"
"North Carolina","$25,000 to $29,999","White only",37,"Female","Employed - at work","Full time",0,64,175,747,273,"White only","$25k-$50k"
"New York","$50,000 to $59,999","Black only",32,"Male","Employed - at work","Full time",400,235,0,540,195,"Black only","$50k-$75k"
"Texas","$100,000 to $149,999","White only",26,"Female","Employed - at work","Full time",220,275,25,685,85,"White only","$100k+"
"New York","$75,000 to $99,999","White only",33,"Female","Employed - at work","Full time",430,111,20,514,190,"White only","$75k-$100k"
"Washington","$60,000 to $74,999","White only",37,"Female","Employed - at work","Full time",468,75,85,564,180,"White only","$50k-$75k"
"Indiana","$60,000 to $74,999","White only",40,"Male","Employed - at work","Full time",0,100,439,600,90,"White only","$50k-$75k"
"Virginia","$150,000 and over","White only",43,"Male","Employed - at work","Full time",554,50,30,605,125,"White only","$100k+"
"Florida","$75,000 to $99,999","White only",27,"Female","Employed - at work","Full time",0,45,120,570,555,"White only","$75k-$100k"
"New York","$100,000 to $149,999","White only",34,"Male","Employed - at work","Full time",480,43,5,500,332,"White only","$100k+"
"Florida","$15,000 to $19,999","White only",33,"Male","Employed - at work","Full time",565,80,0,570,170,"White only","Below $25k"
"Indiana","$15,000 to $19,999","White only",27,"Female","Employed - at work","Part time",0,0,150,540,570,"White only","Below $25k"
"Georgia","$40,000 to $49,999","White only",33,"Female","Employed - at work","Part time",0,26,140,465,275,"White only","$25k-$50k"
"Wisconsin","$50,000 to $59,999","White only",47,"Female","Employed - at work","Part time",450,105,10,495,225,"White only","$50k-$75k"
"Texas","$5,000 to $7,499","White only",33,"Female","Employed - at work","Full time",0,40,270,780,120,"White only","Below $25k"
"Missouri","$25,000 to $29,999","White only",24,"Male","Employed - at work","Full time",715,7,0,450,238,"White only","$25k-$50k"
"New Jersey","$7,500 to $9,999","White only",26,"Male","Employed - at work","Full time",0,6,369,570,435,"White only","Below $25k"
"Texas","$100,000 to $149,999","White only",45,"Female","Employed - at work","Part time",0,70,209,540,499,"White only","$100k+"
"Alabama","$10,000 to $12,499","White only",26,"Female","Employed - at work","Full time",0,70,60,880,230,"White only","Below $25k"
"Missouri","$60,000 to $74,999","White only",42,"Female","Employed - at work","Full time",525,65,160,600,45,"White only","$50k-$75k"
"Florida","$50,000 to $59,999","White only",39,"Male","Employed - at work","Full time",0,130,0,630,380,"White only","$50k-$75k"
"Pennsylvania","$30,000 to $34,999","White only",42,"Female","Employed - at work","Full time",570,2,80,389,389,"White only","$25k-$50k"
"Maryland","$75,000 to $99,999","Black only",43,"Male","Employed - at work","Full time",540,145,0,540,135,"Black only","$75k-$100k"
"Florida","$75,000 to $99,999","White only",44,"Female","Employed - at work","Full time",0,83,105,525,400,"White only","$75k-$100k"
"Indiana","$75,000 to $99,999","White only",46,"Female","Employed - at work","Part time",0,405,95,580,230,"White only","$75k-$100k"
"Iowa","$75,000 to $99,999","White only",46,"Female","Employed - at work","Full time",337,8,120,675,240,"White only","$75k-$100k"
"Texas","$75,000 to $99,999","Asian only",45,"Male","Employed - at work","Full time",0,175,240,540,210,"Asian only","$75k-$100k"
"Texas","$75,000 to $99,999","White only",34,"Female","Employed - at work","Part time",93,121,185,683,60,"White only","$75k-$100k"
"Virginia","$100,000 to $149,999","White only",39,"Female","Employed - at work","Full time",0,20,45,540,325,"White only","$100k+"
"Georgia","$100,000 to $149,999","Asian only",49,"Male","Employed - at work","Full time",0,200,0,550,480,"Asian only","$100k+"
"Florida","$30,000 to $34,999","Black only",22,"Female","Employed - at work","Part time",382,60,75,800,80,"Black only","$25k-$50k"
"New York","$35,000 to $39,999","Black only",39,"Female","Employed - at work","Full time",508,135,0,420,326,"Black only","$25k-$50k"
"Illinois","$40,000 to $49,999","White only",35,"Female","Employed - at work","Full time",0,0,195,720,460,"White only","$25k-$50k"
"California","$50,000 to $59,999","White only",40,"Male","Employed - at work","Full time",0,40,190,540,630,"White only","$50k-$75k"
"Minnesota","$50,000 to $59,999","White only",49,"Female","Employed - at work","Full time",480,0,150,510,240,"White only","$50k-$75k"
"California","$100,000 to $149,999","White only",42,"Male","Employed - at work","Full time",120,30,30,630,360,"White only","$100k+"
"Minnesota","$75,000 to $99,999","White only",40,"Male","Employed - at work","Full time",0,95,127,803,120,"White only","$75k-$100k"
"Indiana","$60,000 to $74,999","White only",45,"Female","Employed - at work","Full time",0,19,0,495,440,"White only","$50k-$75k"
"Nevada","$35,000 to $39,999","White only",41,"Male","Employed - at work","Full time",360,40,15,575,310,"White only","$25k-$50k"
"Virginia","$50,000 to $59,999","Black only",46,"Female","Employed - at work","Full time",430,92,20,280,563,"Black only","$50k-$75k"
"Georgia","$75,000 to $99,999","White only",25,"Female","Employed - at work","Part time",0,30,70,745,390,"White only","$75k-$100k"
"Oregon","$20,000 to $24,999","White only",45,"Male","Employed - at work","Part time",585,175,20,525,90,"White only","Below $25k"
"Missouri","$40,000 to $49,999","White only",49,"Male","Employed - at work","Full time",0,30,30,655,705,"White only","$25k-$50k"
"Michigan","$100,000 to $149,999","White only",29,"Female","Employed - at work","Part time",0,0,465,480,0,"White only","$100k+"
"Arizona","$40,000 to $49,999","White only",39,"Female","Employed - at work","Full time",503,120,2,335,370,"White only","$25k-$50k"
"West Virginia","$100,000 to $149,999","White only",48,"Female","Employed - at work","Full time",0,30,105,660,465,"White only","$100k+"
"Texas","$15,000 to $19,999","White only",23,"Male","Employed - at work","Part time",430,40,0,770,200,"White only","Below $25k"
"Michigan","$12,500 to $14,999","American Indian, Alaskan Native",37,"Male","Employed - at work","Full time",650,20,0,570,200,"Mixed/Other","Below $25k"
"Florida","$100,000 to $149,999","Black only",37,"Female","Employed - at work","Full time",240,10,0,780,295,"Black only","$100k+"
"West Virginia","$100,000 to $149,999","White only",44,"Male","Employed - at work","Full time",490,40,130,535,150,"White only","$100k+"
"Florida","$30,000 to $34,999","White only",46,"Male","Employed - absent","Full time",0,0,0,885,460,"White only","$25k-$50k"
"Oklahoma","$60,000 to $74,999","White only",46,"Male","Employed - at work","Full time",0,40,63,630,587,"White only","$50k-$75k"
"Washington","$75,000 to $99,999","White only",49,"Female","Employed - at work","Full time",0,120,0,510,360,"White only","$75k-$100k"
"Florida","$25,000 to $29,999","White only",28,"Male","Employed - at work","Full time",364,84,35,625,269,"White only","$25k-$50k"
"New Jersey","$150,000 and over","White only",46,"Male","Employed - at work","Full time",60,120,0,540,90,"White only","$100k+"
"North Dakota","$100,000 to $149,999","White only",32,"Female","Employed - at work","Full time",605,30,0,590,90,"White only","$100k+"
"Kansas","$60,000 to $74,999","White only",30,"Male","Employed - at work","Full time",517,30,43,575,215,"White only","$50k-$75k"
"Tennessee","$75,000 to $99,999","White only",33,"Male","Employed - at work","Full time",525,80,70,555,100,"White only","$75k-$100k"
"Utah","$35,000 to $39,999","White only",21,"Female","Employed - at work","Part time",365,86,70,460,227,"White only","$25k-$50k"
"Texas","$40,000 to $49,999","Black only",36,"Female","Employed - at work","Full time",525,119,20,557,150,"Black only","$25k-$50k"
"Arizona","$75,000 to $99,999","White only",45,"Male","Employed - at work","Full time",0,675,0,390,120,"White only","$75k-$100k"
"Georgia","$40,000 to $49,999","Black only",46,"Female","Employed - at work","Part time",365,70,75,550,205,"Black only","$25k-$50k"
"Texas","$60,000 to $74,999","White only",30,"Female","Employed - at work","Full time",30,90,51,705,270,"White only","$50k-$75k"
"Virginia","$75,000 to $99,999","White only",28,"Male","Employed - at work","Full time",0,0,110,930,150,"White only","$75k-$100k"
"North Carolina","$20,000 to $24,999","Black only",33,"Female","Employed - at work","Full time",735,25,5,345,300,"Black only","Below $25k"
"North Carolina","$5,000 to $7,499","White only",36,"Male","Employed - at work","Full time",0,40,50,635,410,"White only","Below $25k"
"Colorado","$30,000 to $34,999","White only",46,"Male","Employed - at work","Full time",490,90,15,560,185,"White only","$25k-$50k"
"Ohio","Less than $5,000","White only",42,"Female","Employed - absent","Full time",105,205,75,740,45,"White only","Below $25k"
"Ohio","$60,000 to $74,999","White only",45,"Female","Employed - at work","Full time",0,165,98,787,95,"White only","$50k-$75k"
"California","$40,000 to $49,999","Black only",28,"Female","Employed - at work","Full time",483,65,120,570,172,"Black only","$25k-$50k"
"Tennessee","$75,000 to $99,999","American Indian, Alaskan Native",39,"Female","Employed - at work","Full time",480,51,10,539,220,"Mixed/Other","$75k-$100k"
"Nebraska","$60,000 to $74,999","White only",29,"Female","Employed - at work","Full time",487,96,45,431,201,"White only","$50k-$75k"
"Louisiana","$20,000 to $24,999","White only",38,"Male","Employed - at work","Full time",615,75,30,460,159,"White only","Below $25k"
"Missouri","$100,000 to $149,999","White only",33,"Male","Employed - at work","Full time",460,40,30,445,305,"White only","$100k+"
"Missouri","$60,000 to $74,999","White only",36,"Male","Employed - at work","Full time",0,40,440,630,120,"White only","$50k-$75k"
"Pennsylvania","$60,000 to $74,999","White only",39,"Female","Employed - at work","Full time",60,110,185,540,90,"White only","$50k-$75k"
"New Jersey","$150,000 and over","Asian only",49,"Male","Employed - at work","Full time",514,140,0,610,40,"Asian only","$100k+"
"California","$40,000 to $49,999","Black only",47,"Female","Employed - at work","Full time",728,47,90,430,40,"Black only","$25k-$50k"
"Utah","$35,000 to $39,999","White only",27,"Female","Employed - at work","Full time",604,86,50,477,115,"White only","$25k-$50k"
"Texas","$35,000 to $39,999","White only",43,"Male","Employed - at work","Full time",465,50,10,540,315,"White only","$25k-$50k"
"Illinois","$50,000 to $59,999","White only",28,"Female","Employed - at work","Full time",520,110,300,180,15,"White only","$50k-$75k"
"Texas","$60,000 to $74,999","White only",30,"Male","Employed - at work","Full time",551,28,0,530,208,"White only","$50k-$75k"
"Texas","$75,000 to $99,999","White only",34,"Female","Employed - at work","Full time",459,80,55,450,290,"White only","$75k-$100k"
"Arkansas","$100,000 to $149,999","White only",42,"Male","Employed - at work","Full time",760,180,0,485,0,"White only","$100k+"
"Oregon","$35,000 to $39,999","White only",22,"Female","Employed - at work","Full time",60,109,90,765,194,"White only","$25k-$50k"
"Texas","$60,000 to $74,999","White only",27,"Male","Employed - at work","Full time",510,105,0,540,255,"White only","$50k-$75k"
