state,fam_income,race,age,sex,emp,fullpart,work,travel,household,pcare,leisure
North Carolina,"$150,000 and over",White only,41,Female,Employed - at work,Full time,485,58,65,615,87
Wisconsin,"$60,000 to $74,999",White only,47,Male,Employed - at work,Full time,0,76,20,594,150
California,"$150,000 and over",White only,47,Male,Employed - at work,Full time,0,440,45,613,255
Louisiana,"$100,000 to $149,999",Black only,48,Female,Employed - at work,Full time,0,270,60,510,195
Mississippi,"$20,000 to $24,999",White only,22,Female,Employed - at work,Full time,498,25,70,757,70
Indiana,"$60,000 to $74,999",White only,33,Female,Employed - at work,Full time,300,151,22,60,749
Pennsylvania,"$75,000 to $99,999",White only,36,Male,Employed - at work,Full time,0,55,360,560,435
Wisconsin,"$75,000 to $99,999",White only,30,Female,Employed - at work,Part time,0,70,180,680,290
Maryland,"$100,000 to $149,999",Black only,33,Female,Employed - at work,Full time,0,100,165,635,310
Massachusetts,"$100,000 to $149,999",White only,36,Male,Employed - at work,Full time,0,170,50,525,343
Oklahoma,"$50,000 to $59,999",White only,31,Female,Employed - at work,Full time,330,355,0,410,165
California,"$100,000 to $149,999",White only,42,Male,Employed - at work,Full time,558,115,0,440,45
Oregon,"$25,000 to $29,999",White only,31,Male,Employed - absent,Full time,0,180,90,570,415
Alabama,"$150,000 and over",White only,47,Male,Employed - at work,Full time,0,176,282,430,0
Georgia,"$75,000 to $99,999",White only,33,Male,Employed - at work,Full time,0,130,225,490,455
Illinois,"$75,000 to $99,999",White only,44,Male,Employed - at work,Full time,0,135,60,720,240
District of Columbia,"$75,000 to $99,999",White only,26,Male,Employed - at work,Full time,0,24,30,696,630
New York,"$100,000 to $149,999",White only,49,Female,Employed - at work,Full time,402,40,175,528,190
Oregon,"$100,000 to $149,999",White only,38,Male,Employed - at work,Full time,150,120,80,480,440
California,"$50,000 to $59,999",White-Black,30,Male,Employed - at work,Full time,233,133,14,686,247
Minnesota,"$60,000 to $74,999",White only,28,Male,Employed - at work,Full time,635,30,60,565,120
Minnesota,"$75,000 to $99,999",White only,41,Male,Employed - at work,Full time,120,15,120,390,510
Arizona,"$150,000 and over",White only,40,Male,Employed - at work,Full time,553,69,60,510,70
New Mexico,"$20,000 to $24,999",White only,45,Male,Employed - at work,Part time,474,19,60,570,88
Pennsylvania,"$75,000 to $99,999",White only,30,Female,Employed - at work,Full time,0,20,405,330,685
Florida,"$35,000 to $39,999",Black only,41,Male,Employed - at work,Full time,705,10,0,535,120
Nevada,"$60,000 to $74,999",Hawaiian Pacific Islander only,32,Female,Employed - at work,Full time,604,83,25,426,90
Connecticut,"$150,000 and over",Black only,31,Male,Employed - at work,Full time,600,0,15,515,280
Alaska,"$75,000 to $99,999",White only,26,Female,Employed - at work,Full time,0,90,35,610,520
California,"$100,000 to $149,999",White only,36,Female,Employed - at work,Full time,0,0,0,540,810
Florida,"$100,000 to $149,999",White only,45,Male,Employed - at work,Full time,0,60,225,615,360
Virginia,"$60,000 to $74,999",White only,24,Male,Employed - at work,Full time,512,80,20,530,163
North Carolina,"$60,000 to $74,999",White only,34,Female,Employed - at work,Full time,580,125,30,397,125
California,"$100,000 to $149,999",White only,49,Male,Employed - at work,Full time,0,230,60,570,450
New York,"$150,000 and over",White only,30,Male,Employed - at work,Full time,312,66,7,585,195
Ohio,"$30,000 to $34,999",White only,17,Male,Employed - at work,Part time,300,25,1,620,0
Kansas,"$150,000 and over",White only,40,Male,Employed - at work,Full time,290,110,20,580,275
Missouri,"$150,000 and over",White only,35,Male,Employed - at work,Full time,0,93,67,190,859
California,"$150,000 and over",White only,41,Male,Employed - at work,Full time,0,49,0,605,0
Arkansas,"$50,000 to $59,999",White only,49,Male,Employed - at work,Full time,0,65,0,570,570
California,"$60,000 to $74,999",Black only,49,Male,Employed - at work,Full time,0,26,150,260,944
Michigan,"$30,000 to $34,999",White only,24,Female,Employed - at work,Part time,475,100,0,605,140
Pennsylvania,"$100,000 to $149,999",White only,39,Female,Employed - at work,Part time,385,104,65,536,245
Maryland,"$100,000 to $149,999",White only,45,Male,Employed - at work,Full time,520,150,23,415,267
Alabama,"$40,000 to $49,999",White only,34,Male,Employed - at work,Full time,525,75,60,580,95
Missouri,"$40,000 to $49,999",Black only,49,Female,Employed - at work,Full time,90,130,10,500,360
Illinois,"$60,000 to $74,999",White only,47,Female,Employed - at work,Full time,240,4,205,660,120
Michigan,"$20,000 to $24,999",White only,48,Male,Employed - at work,Full time,10,60,0,725,210
New Jersey,"$150,000 and over",White only,15,Female,Employed - absent,Part time,0,50,60,700,210
Pennsylvania,"$75,000 to $99,999",White only,35,Female,Employed - at work,Full time,447,62,73,510,177
Massachusetts,"$150,000 and over",White only,47,Female,Employed - at work,Full time,120,80,240,690,250
Arizona,"$35,000 to $39,999",White only,39,Female,Employed - at work,Full time,0,0,150,810,420
California,"$25,000 to $29,999",White only,35,Male,Employed - at work,Part time,0,0,210,675,255
New Mexico,"$60,000 to $74,999",White only,43,Female,Employed - at work,Full time,535,25,30,610,120
Illinois,"$150,000 and over",Asian only,42,Male,Employed - at work,Full time,1085,0,0,355,0
Louisiana,"$20,000 to $24,999",Black only,34,Female,Employed - at work,Full time,0,0,235,360,540
Missouri,"$75,000 to $99,999",White only,40,Female,Employed - at work,Full time,670,70,0,485,80
Florida,"$30,000 to $34,999",Black only,16,Male,Employed - at work,Full time,85,50,0,670,330
Virginia,"$60,000 to $74,999",White only,28,Male,Employed - at work,Full time,510,120,0,510,210
Indiana,"$75,000 to $99,999",White only,43,Male,Employed - at work,Full time,0,10,120,625,505
Indiana,"$50,000 to $59,999",White only,35,Male,Employed - at work,Full time,5,125,45,730,225
New Jersey,"$150,000 and over",White only,43,Male,Employed - at work,Full time,0,0,120,510,145
Montana,"$75,000 to $99,999",White only,17,Female,Employed - at work,Part time,0,204,15,505,335
Wisconsin,"$60,000 to $74,999",White only,45,Female,Employed - absent,Full time,0,65,25,445,510
New York,"$100,000 to $149,999",White only,38,Male,Employed - at work,Full time,647,211,0,470,75
Ohio,"$100,000 to $149,999",White only,44,Female,Employed - at work,Part time,0,20,425,592,150
Pennsylvania,"$150,000 and over",White only,46,Male,Employed - at work,Part time,334,105,36,529,125
Indiana,"$50,000 to $59,999",White only,40,Female,Employed - at work,Full time,550,45,14,530,75
Washington,"$60,000 to $74,999",Asian only,29,Male,Employed - at work,Full time,535,30,35,555,240
New Jersey,"$100,000 to $149,999",Asian only,37,Male,Employed - at work,Full time,0,100,30,620,270
North Carolina,"$30,000 to $34,999",White only,49,Male,Employed - at work,Full time,680,65,5,525,90
Missouri,"$100,000 to $149,999",White only,36,Male,Employed - at work,Full time,0,60,330,720,60
Texas,"$40,000 to $49,999",White only,41,Female,Employed - at work,Full time,570,115,10,375,270
South Dakota,"$20,000 to $24,999",White only,28,Male,Employed - at work,Full time,0,250,30,510,435
Michigan,"$7,500 to $9,999",Black-American Indian,34,Female,Employed - at work,Full time,255,50,45,465,0
Texas,"$50,000 to $59,999",White only,18,Female,Employed - at work,Part time,395,80,0,565,0
California,"$15,000 to $19,999",White only,27,Male,Employed - at work,Full time,0,0,670,480,255
Hawaii,"$35,000 to $39,999",White-Asian,49,Female,Employed - at work,Part time,415,84,79,517,295
Iowa,"$40,000 to $49,999",White only,23,Male,Employed - at work,Full time,645,30,60,630,45
Ohio,"$150,000 and over",White only,45,Male,Employed - at work,Full time,0,40,410,600,308
Alabama,"$15,000 to $19,999",Black only,49,Female,Employed - at work,Full time,455,41,195,295,434
North Dakota,"$100,000 to $149,999",White only,34,Female,Employed - at work,Full time,463,106,15,420,346
Virginia,"$75,000 to $99,999",White only,35,Female,Employed - at work,Full time,0,235,50,370,175
Virginia,"$30,000 to $34,999",White only,45,Male,Employed - at work,Part time,380,90,330,540,30
Illinois,"$75,000 to $99,999",White only,43,Male,Employed - at work,Full time,475,44,291,480,90
Idaho,"$50,000 to $59,999",White only,32,Male,Employed - at work,Part time,0,24,374,642,100
Tennessee,"$75,000 to $99,999",White only,41,Female,Employed - at work,Full time,0,166,95,615,204
Tennessee,"$100,000 to $149,999",White only,17,Male,Employed - at work,Part time,255,58,11,567,0
Ohio,"$100,000 to $149,999",White only,43,Male,Employed - at work,Full time,105,50,15,580,650
Michigan,"$35,000 to $39,999",White only,43,Male,Employed - at work,Full time,805,70,15,500,0
Nevada,"$75,000 to $99,999",Black only,49,Male,Employed - at work,Full time,0,0,60,840,465
Wisconsin,"$100,000 to $149,999",White only,34,Female,Employed - at work,Part time,0,30,135,645,130
Wisconsin,"$150,000 and over",White only,45,Female,Employed - at work,Full time,545,75,15,590,150
California,"$100,000 to $149,999",White only,31,Female,Employed - at work,Part time,450,35,45,600,140
Massachusetts,"$75,000 to $99,999",White only,34,Female,Employed - at work,Part time,0,31,145,615,253
Colorado,"$30,000 to $34,999",White only,39,Male,Employed - at work,Full time,0,110,255,675,250
California,"$40,000 to $49,999",White only,33,Male,Employed - at work,Full time,615,130,0,605,90
Arizona,"$100,000 to $149,999",Asian only,33,Male,Employed - at work,Full time,0,45,60,710,485
North Carolina,"$15,000 to $19,999",White only,34,Male,Employed - at work,Full time,750,120,0,525,0
Michigan,"$40,000 to $49,999",White only,35,Male,Employed - at work,Full time,420,70,51,395,389
Missouri,"$60,000 to $74,999",White only,46,Female,Employed - at work,Full time,0,40,255,452,550
Florida,"$40,000 to $49,999",White only,25,Male,Employed - at work,Full time,0,75,60,730,245
Arkansas,"$35,000 to $39,999",White only,29,Female,Employed - at work,Full time,0,33,0,852,285
Missouri,"$75,000 to $99,999",White only,47,Male,Employed - at work,Full time,480,85,0,545,100
New York,"$35,000 to $39,999",Black only,43,Female,Employed - at work,Part time,420,132,30,540,258
Ohio,"$75,000 to $99,999",White only,31,Male,Employed - at work,Full time,0,30,225,770,280
Iowa,"$75,000 to $99,999",White only,46,Male,Employed - at work,Full time,25,10,590,510,205
Wisconsin,"$40,000 to $49,999",White only,41,Female,Employed - at work,Full time,545,30,0,540,80
Nebraska,"$60,000 to $74,999",White only,46,Female,Employed - at work,Part time,450,35,15,535,285
Washington,"$75,000 to $99,999",White only,39,Female,Employed - at work,Part time,0,20,385,560,205
Missouri,"$75,000 to $99,999",White only,45,Male,Employed - at work,Full time,0,35,0,820,485
New Jersey,"$75,000 to $99,999",White only,19,Female,Employed - at work,Full time,0,92,15,557,618
Minnesota,"$20,000 to $24,999",White only,34,Female,Employed - at work,Full time,515,30,15,520,300
Maryland,"$150,000 and over",White only,31,Female,Employed - at work,Full time,940,55,165,140,60
Illinois,"$75,000 to $99,999",White only,26,Male,Employed - at work,Full time,0,60,0,520,0
Georgia,"$35,000 to $39,999",Black only,47,Male,Employed - at work,Full time,525,30,0,420,450
Georgia,"$20,000 to $24,999",White only,23,Female,Employed - at work,Full time,0,115,145,615,460
Virginia,"$150,000 and over",White only,41,Male,Employed - at work,Full time,465,120,95,460,150
Arizona,"$10,000 to $12,499",White only,43,Female,Employed - at work,Part time,180,7,75,832,255
Texas,"$60,000 to $74,999",White only,48,Male,Employed - at work,Full time,557,80,181,480,37
Massachusetts,"$20,000 to $24,999",White only,42,Female,Employed - at work,Part time,495,35,80,525,240
Pennsylvania,"$75,000 to $99,999",White only,15,Male,Employed - at work,Full time,0,70,0,475,475
Idaho,"$30,000 to $34,999",White only,32,Female,Employed - at work,Part time,0,82,267,520,321
Massachusetts,"$150,000 and over",White only,38,Female,Employed - at work,Full time,240,735,0,330,60
Georgia,"$50,000 to $59,999",Black only,42,Male,Employed - at work,Full time,300,16,120,864,120
Minnesota,"$75,000 to $99,999",White only,34,Male,Employed - at work,Full time,475,120,35,420,240
Tennessee,"$30,000 to $34,999",White only,32,Female,Employed - at work,Full time,585,40,30,520,145
Minnesota,"$150,000 and over",White only,49,Male,Employed - at work,Full time,480,155,0,525,145
Michigan,"$100,000 to $149,999",White only,46,Male,Employed - at work,Full time,422,86,85,435,225
Massachusetts,"$75,000 to $99,999",White only,46,Male,Employed - at work,Full time,440,60,22,495,150
Arizona,"$75,000 to $99,999",White only,49,Female,Employed - at work,Full time,510,120,60,570,120
Minnesota,"$75,000 to $99,999",White only,34,Female,Employed - at work,Part time,280,65,138,600,55
Minnesota,"$75,000 to $99,999",White only,43,Female,Employed - at work,Full time,564,65,51,456,242
Florida,"$20,000 to $24,999",White only,17,Female,Employed - at work,Part time,0,30,25,830,150
North Carolina,"$60,000 to $74,999",White only,37,Female,Employed - at work,Full time,505,110,90,575,0
Colorado,"$5,000 to $7,499",White only,30,Male,Employed - at work,Part time,0,20,330,640,255
Oregon,"$30,000 to $34,999",White only,24,Female,Employed - at work,Full time,30,85,150,640,280
Louisiana,"$150,000 and over",White only,29,Female,Employed - at work,Full time,605,83,0,525,120
Pennsylvania,"$40,000 to $49,999",White only,29,Male,Employed - at work,Full time,910,29,35,316,110
Virginia,"$75,000 to $99,999",White only,38,Female,Employed - at work,Full time,375,105,0,495,384
Nebraska,"$75,000 to $99,999",White only,30,Female,Employed - at work,Part time,591,14,127,483,12
Texas,"$40,000 to $49,999",White only,25,Male,Employed - at work,Full time,585,90,0,510,180
Pennsylvania,"$60,000 to $74,999",Asian only,40,Male,Employed - at work,Full time,435,60,0,630,285
Texas,"$30,000 to $34,999",White only,49,Female,Employed - at work,Full time,0,30,415,600,305
Pennsylvania,"$100,000 to $149,999",White only,44,Female,Employed - at work,Full time,0,300,80,520,450
California,"$50,000 to $59,999",White only,36,Male,Employed - at work,Full time,0,157,200,540,313
California,"$100,000 to $149,999",White only,40,Female,Employed - at work,Part time,240,84,245,473,90
North Carolina,"$20,000 to $24,999",Black only,28,Female,Employed - at work,Full time,160,55,30,715,240
California,"$100,000 to $149,999",White only,45,Male,Employed - at work,Full time,390,168,15,485,180
Texas,"$25,000 to $29,999",White only,20,Male,Employed - at work,Full time,860,130,0,430,0
Colorado,"$150,000 and over",White only,18,Female,Employed - at work,Full time,445,76,0,552,0
Illinois,"$25,000 to $29,999",White only,34,Male,Employed - at work,Full time,542,37,17,496,270
California,"$60,000 to $74,999",White only,39,Female,Employed - at work,Full time,0,47,210,853,120
Arkansas,"$60,000 to $74,999",Black only,38,Female,Employed - at work,Full time,480,110,10,510,240
Virginia,"$100,000 to $149,999",Asian only,31,Male,Employed - at work,Full time,442,16,67,545,210
Illinois,"$40,000 to $49,999",White only,37,Female,Employed - at work,Full time,490,54,92,537,75
Pennsylvania,"$150,000 and over",White only,21,Female,Employed - at work,Part time,245,105,0,630,200
Missouri,"$150,000 and over",White only,47,Male,Employed - at work,Full time,358,125,75,430,210
Pennsylvania,"$40,000 to $49,999",Black only,43,Female,Employed - at work,Full time,0,128,30,665,233
Michigan,"$60,000 to $74,999",White only,27,Male,Employed - at work,Full time,180,180,30,575,335
Arkansas,"$30,000 to $34,999",White only,34,Male,Employed - at work,Full time,0,0,160,580,585
Texas,"$25,000 to $29,999",White only,36,Female,Employed - at work,Full time,0,10,210,660,484
Illinois,"$30,000 to $34,999",Black only,45,Male,Employed - at work,Full time,303,45,120,557,355
West Virginia,"$35,000 to $39,999",White only,28,Male,Employed - at work,Full time,495,83,10,530,0
Indiana,"$60,000 to $74,999",White only,49,Male,Employed - at work,Full time,650,50,35,515,115
Pennsylvania,"$75,000 to $99,999",White only,45,Male,Employed - at work,Full time,450,120,120,330,300
Mississippi,"$50,000 to $59,999",White only,27,Male,Employed - at work,Full time,0,40,350,680,275
Georgia,"$25,000 to $29,999",White only,31,Male,Employed - at work,Full time,0,30,255,579,435
Massachusetts,"$60,000 to $74,999",White only,36,Female,Employed - at work,Part time,450,30,110,585,135
California,"$60,000 to $74,999",White only,33,Male,Employed - at work,Full time,525,105,0,625,120
Ohio,"$20,000 to $24,999",White only,37,Female,Employed - at work,Full time,0,283,0,305,415
Kansas,"$5,000 to $7,499",White only,29,Female,Employed - at work,Part time,534,129,15,276,74
District of Columbia,"$150,000 and over",Black only,35,Female,Employed - at work,Full time,457,133,60,490,0
Missouri,"$35,000 to $39,999",White only,44,Male,Employed - at work,Full time,405,0,60,535,90
New York,"$60,000 to $74,999",White only,43,Female,Employed - at work,Full time,0,110,104,678,428
New York,"$150,000 and over",White only,46,Male,Employed - at work,Full time,60,80,165,570,335
California,"$40,000 to $49,999",White only,39,Male,Employed - at work,Full time,510,95,0,470,295
Pennsylvania,"$35,000 to $39,999",White only,36,Female,Employed - at work,Full time,455,105,152,468,60
North Carolina,"$60,000 to $74,999",Black only,47,Male,Employed - at work,Full time,505,120,0,725,0
Tennessee,"$50,000 to $59,999",White only,47,Male,Employed - at work,Full time,0,410,0,450,0
California,"$5,000 to $7,499",Asian only,44,Female,Employed - at work,Part time,0,90,150,810,240
Wisconsin,"Less than $5,000",White only,19,Male,Employed - at work,Part time,540,60,60,690,60
New Jersey,"$75,000 to $99,999",Asian only,36,Female,Employed - at work,Part time,255,70,241,485,8
Pennsylvania,"$50,000 to $59,999",White only,42,Female,Employed - at work,Full time,475,40,60,645,185
Kansas,"Less than $5,000",Black only,21,Female,Employed - at work,Full time,0,0,150,900,375
Utah,"$60,000 to $74,999",White only,44,Female,Employed - at work,Part time,10,28,140,625,435
Maryland,"$150,000 and over",White only,43,Male,Employed - at work,Full time,465,204,0,390,251
California,"$100,000 to $149,999",White only,38,Male,Employed - at work,Full time,773,30,60,425,150
Florida,"$150,000 and over",White only,46,Female,Employed - at work,Full time,0,96,60,630,459
Washington,"$75,000 to $99,999",White-American Indian,44,Male,Employed - at work,Full time,120,115,30,643,410
Virginia,"$75,000 to $99,999",White only,36,Female,Employed - at work,Full time,0,40,251,859,160
Michigan,"$100,000 to $149,999",White only,40,Male,Employed - at work,Full time,450,80,0,630,210
Texas,"$20,000 to $24,999",White only,42,Female,Employed - at work,Full time,437,134,33,441,25
Indiana,"$75,000 to $99,999",White only,41,Male,Employed - at work,Full time,820,20,0,505,75
New Mexico,"$100,000 to $149,999",White only,35,Male,Employed - at work,Full time,402,80,90,540,90
New York,"$100,000 to $149,999",Black only,43,Male,Employed - at work,Full time,0,25,375,625,260
New York,"$75,000 to $99,999",White only,34,Female,Employed - at work,Full time,58,32,275,440,125
Arizona,"$35,000 to $39,999",White only,34,Female,Employed - at work,Full time,420,152,0,570,220
Florida,"$40,000 to $49,999",White only,47,Female,Employed - at work,Full time,0,40,90,690,190
Texas,"$50,000 to $59,999",Black only,48,Female,Employed - at work,Full time,470,170,60,590,75
Kansas,"$35,000 to $39,999",White only,28,Female,Employed - at work,Full time,0,50,365,545,120
Arizona,"$15,000 to $19,999",Black only,47,Female,Employed - at work,Full time,0,180,0,940,70
Oregon,"$35,000 to $39,999",White only,22,Male,Employed - at work,Full time,0,10,400,470,470
Illinois,"$50,000 to $59,999",White only,33,Female,Employed - at work,Full time,0,53,60,612,390
South Carolina,"$60,000 to $74,999",White only,42,Female,Employed - at work,Full time,483,35,255,490,110
Massachusetts,"$100,000 to $149,999",White only,43,Female,Employed - at work,Part time,0,85,575,515,50
Idaho,"$100,000 to $149,999",White only,23,Male,Employed - at work,Full time,475,25,0,670,120
California,"$75,000 to $99,999",Black only,48,Male,Employed - at work,Full time,520,54,2,482,335
Tennessee,"$15,000 to $19,999",White only,29,Male,Employed - at work,Full time,0,159,0,540,606
California,"$100,000 to $149,999",White only,44,Female,Employed - at work,Full time,0,150,95,520,380
Texas,"$75,000 to $99,999",White only,38,Male,Employed - at work,Full time,510,55,0,510,75
Texas,"$12,500 to $14,999",White only,40,Female,Employed - at work,Part time,363,64,211,476,167
Nevada,"$40,000 to $49,999",White only,49,Female,Employed - at work,Full time,455,30,10,385,465
Indiana,"$25,000 to $29,999",White only,24,Male,Employed - at work,Full time,480,60,60,470,165
California,"$30,000 to $34,999",White-Asian,21,Female,Employed - at work,Part time,115,90,225,725,180
Alabama,"$20,000 to $24,999",White only,44,Male,Employed - at work,Full time,0,260,330,550,240
New York,"$150,000 and over",Black only,48,Female,Employed - at work,Full time,524,205,15,460,206
Texas,"$20,000 to $24,999",White only,41,Female,Employed - at work,Full time,490,55,190,665,15
Texas,"$50,000 to $59,999",White only,44,Male,Employed - at work,Full time,580,50,0,390,290
Ohio,"$35,000 to $39,999",White only,29,Female,Employed - at work,Full time,446,151,108,450,17
Michigan,"$150,000 and over",White only,22,Male,Employed - at work,Full time,460,90,0,630,0
Missouri,"$40,000 to $49,999",White only,35,Female,Employed - at work,Full time,0,110,120,585,355
Alabama,"$75,000 to $99,999",White only,46,Male,Employed - at work,Full time,630,120,0,481,139
Florida,"$20,000 to $24,999",Black only,21,Male,Employed - at work,Part time,870,10,0,445,70
Nebraska,"$35,000 to $39,999",White only,44,Male,Employed - at work,Full time,706,101,7,431,144
Florida,"$40,000 to $49,999",White only,37,Male,Employed - at work,Full time,525,30,0,580,200
Texas,"$60,000 to $74,999",White only,39,Male,Employed - at work,Full time,0,0,660,600,60
Arizona,"$25,000 to $29,999",White only,42,Female,Employed - at work,Full time,492,137,58,577,136
Nebraska,"$40,000 to $49,999",White only,35,Male,Employed - at work,Full time,0,115,5,580,210
Georgia,"$40,000 to $49,999",White only,38,Female,Employed - at work,Full time,0,120,285,515,300
Illinois,"$40,000 to $49,999",White only,41,Female,Employed - at work,Full time,480,105,180,610,60
Ohio,"$75,000 to $99,999",White only,44,Female,Employed - at work,Full time,475,55,40,565,85
New York,"$50,000 to $59,999",White only,31,Female,Employed - at work,Full time,485,0,30,600,240
Minnesota,"$35,000 to $39,999",White only,19,Male,Employed - at work,Full time,0,60,0,710,470
New York,"$75,000 to $99,999",Black only,28,Female,Employed - at work,Full time,0,0,480,640,320
West Virginia,"$35,000 to $39,999",White only,46,Male,Employed - at work,Full time,720,60,0,451,179
Oregon,"$100,000 to $149,999",White only,40,Female,Employed - at work,Part time,0,137,240,505,383
New Jersey,"$150,000 and over",White only,24,Female,Employed - at work,Full time,380,50,0,620,85
New York,"$150,000 and over",White only,44,Female,Employed - at work,Full time,440,260,60,435,0
Wisconsin,"$100,000 to $149,999",White only,39,Male,Employed - at work,Full time,705,85,55,490,105
New Mexico,"$100,000 to $149,999",White only,44,Male,Employed - at work,Full time,580,130,0,410,233
Washington,"$10,000 to $12,499",White only,31,Male,Employed - at work,Part time,99,46,43,735,457
Oklahoma,"$40,000 to $49,999",White only,36,Male,Employed - at work,Full time,415,25,60,870,10
California,"$25,000 to $29,999",Black only,44,Female,Employed - at work,Full time,0,62,345,780,60
Georgia,"$10,000 to $12,499",Black only,28,Female,Employed - at work,Part time,0,12,30,705,508
Florida,"$30,000 to $34,999",White only,34,Male,Employed - at work,Full time,460,130,0,440,240
Virginia,"$100,000 to $149,999",Black only,37,Female,Employed - at work,Full time,510,20,0,700,120
Florida,"$75,000 to $99,999",White only,42,Female,Employed - at work,Full time,572,110,44,454,135
New Jersey,"$25,000 to $29,999",Black only,24,Male,Employed - absent,Part time,135,160,0,720,280
Indiana,"$75,000 to $99,999",White only,41,Male,Employed - at work,Full time,705,54,21,530,60
North Carolina,"$50,000 to $59,999",White only,37,Female,Employed - at work,Full time,610,45,45,465,30
Illinois,"$12,500 to $14,999",Black only,34,Female,Employed - at work,Part time,0,55,0,955,390
Indiana,"$60,000 to $74,999",White only,34,Female,Employed - at work,Part time,0,115,70,560,360
New York,"$100,000 to $149,999",Asian only,26,Male,Employed - at work,Full time,480,120,0,660,60
Oregon,"$12,500 to $14,999",White only,34,Male,Employed - at work,Full time,740,65,20,420,15
New Hampshire,"$100,000 to $149,999",White only,39,Male,Employed - at work,Full time,300,137,52,421,25
Alabama,"$60,000 to $74,999",White only,28,Female,Employed - at work,Part time,0,30,45,820,315
California,"$60,000 to $74,999",White-American Indian,24,Female,Employed - at work,Full time,0,52,0,690,628
Minnesota,"$40,000 to $49,999",White only,40,Male,Employed - at work,Full time,673,47,0,485,120
Colorado,"$40,000 to $49,999",White only,49,Male,Employed - at work,Full time,570,50,30,485,270
West Virginia,"$20,000 to $24,999",White only,49,Female,Employed - at work,Part time,325,149,175,573,108
Washington,"$30,000 to $34,999",White only,43,Female,Employed - at work,Full time,180,85,175,450,448
Kentucky,"$100,000 to $149,999",White only,44,Male,Employed - at work,Full time,365,42,15,455,443
Florida,"$25,000 to $29,999",White only,36,Female,Employed - at work,Full time,0,80,0,730,600
Nevada,"$150,000 and over",White only,32,Male,Employed - at work,Full time,428,35,22,570,360
Mississippi,"$25,000 to $29,999",Asian only,44,Male,Employed - at work,Full time,345,70,0,745,60
Texas,"$100,000 to $149,999",White only,44,Female,Employed - at work,Full time,0,60,120,670,240
Kentucky,"$30,000 to $34,999",White only,45,Male,Employed - at work,Full time,735,25,10,460,60
Virginia,"$15,000 to $19,999",White only,44,Female,Employed - at work,Full time,263,330,297,165,130
Illinois,"$75,000 to $99,999",Asian only,30,Female,Employed - at work,Full time,0,0,180,780,420
Kansas,"$50,000 to $59,999",White only,43,Male,Employed - at work,Full time,0,105,220,590,260
Pennsylvania,"$40,000 to $49,999",White only,42,Female,Employed - at work,Full time,525,59,8,510,35
Colorado,"$60,000 to $74,999",White only,37,Male,Employed - at work,Full time,90,0,441,679,125
Pennsylvania,"$75,000 to $99,999",White only,48,Female,Employed - at work,Full time,540,125,205,378,165
Massachusetts,"$40,000 to $49,999",White only,38,Male,Employed - at work,Full time,0,945,0,375,0
New York,"$35,000 to $39,999",White only,46,Male,Employed - at work,Full time,440,125,130,515,170
Virginia,"$40,000 to $49,999",Black only,49,Female,Employed - at work,Full time,275,75,365,565,25
Idaho,"$25,000 to $29,999",White only,39,Female,Employed - at work,Part time,0,4,120,700,120
Michigan,"$50,000 to $59,999",White only,35,Female,Employed - at work,Full time,30,57,420,578,210
California,"$60,000 to $74,999",White only,24,Male,Employed - at work,Full time,455,20,0,920,0
District of Columbia,"$40,000 to $49,999",White only,29,Female,Employed - at work,Part time,0,0,45,675,618
Texas,"Less than $5,000",White only,38,Male,Employed - at work,Full time,511,44,40,520,60
Texas,"$150,000 and over",Asian only,44,Male,Employed - at work,Full time,0,0,180,710,490
Oregon,"$15,000 to $19,999",White only,33,Female,Employed - at work,Full time,625,30,0,655,10
Kansas,"$40,000 to $49,999",White only,23,Male,Employed - at work,Full time,699,252,10,375,45
Illinois,"$25,000 to $29,999",Black only,24,Female,Employed - at work,Full time,0,82,90,848,390
Illinois,"$60,000 to $74,999",Asian only,38,Male,Employed - at work,Full time,460,20,125,505,255
Arkansas,"$25,000 to $29,999",White only,21,Female,Employed - at work,Full time,460,195,0,580,135
Alabama,"$12,500 to $14,999",Black only,23,Female,Employed - at work,Full time,0,66,0,871,417
Texas,"$75,000 to $99,999",White only,48,Female,Employed - at work,Full time,0,70,60,615,225
Alabama,"$10,000 to $12,499",White only,27,Male,Employed - at work,Full time,0,0,80,440,790
Missouri,"$25,000 to $29,999",White only,42,Male,Employed - at work,Full time,610,40,30,540,30
Georgia,"$75,000 to $99,999",Black only,48,Male,Employed - at work,Full time,475,30,0,790,120
Texas,"$150,000 and over",White only,42,Female,Employed - at work,Full time,600,50,0,330,260
Nevada,"$35,000 to $39,999",White-Black,43,Female,Employed - at work,Part time,120,60,40,570,48
Ohio,"$60,000 to $74,999",White only,40,Male,Employed - at work,Full time,493,55,120,450,247
Arkansas,"$40,000 to $49,999",White only,32,Male,Employed - at work,Full time,655,59,0,375,75
Utah,"$12,500 to $14,999",White only,45,Female,Employed - absent,Part time,0,20,3,513,576
Indiana,"$10,000 to $12,499",White only,37,Female,Employed - at work,Part time,0,170,135,690,250
Illinois,"$100,000 to $149,999",White only,17,Female,Employed - at work,Part time,460,62,25,675,83
Ohio,"$10,000 to $12,499",Black only,36,Female,Employed - at work,Full time,0,25,0,1010,170
Kentucky,"$60,000 to $74,999",White only,35,Female,Employed - at work,Full time,0,30,225,480,80
Missouri,"$60,000 to $74,999",White only,27,Female,Employed - at work,Full time,0,75,110,530,610
