state,fam_income,race,age,sex,emp,fullpart,work,social,sports,pcare,educ,leisure
Kansas,"$15,000 to $19,999",White only,26,Female,Employed - absent,Full time,270,320,0,550,0,320
Texas,"$75,000 to $99,999",White only,42,Female,Employed - at work,Full time,0,390,0,835,0,390
Maryland,"$150,000 and over",White only,42,Male,Employed - at work,Full time,507,183,30,540,0,213
Colorado,"$150,000 and over",White only,23,Male,Employed - at work,Full time,0,120,0,810,0,120
Indiana,"$60,000 to $74,999",White only,48,Female,Employed - at work,Full time,499,150,0,566,0,150
Texas,"$60,000 to $74,999",White only,49,Female,Employed - at work,Full time,0,270,270,600,0,540
Florida,"$40,000 to $49,999",White only,26,Female,Employed - at work,Full time,520,60,0,625,0,60
Pennsylvania,"$100,000 to $149,999",White only,49,Female,Employed - at work,Full time,0,420,0,540,0,420
Texas,"$20,000 to $24,999",White only,42,Female,Employed - at work,Full time,310,200,0,630,0,200
Wisconsin,"$25,000 to $29,999",White only,30,Male,Employed - at work,Full time,10,742,0,475,15,742
Maine,"$15,000 to $19,999",White only,48,Male,Employed - at work,Full time,334,135,298,465,0,433
Texas,"$30,000 to $34,999",White only,30,Female,Employed - at work,Part time,0,385,60,760,0,445
California,"$75,000 to $99,999",White only,42,Male,Employed - at work,Full time,475,105,0,535,0,105
Alaska,"$12,500 to $14,999",White only,28,Male,Employed - at work,Full time,0,40,0,680,0,40
California,"$60,000 to $74,999",White only,22,Male,Employed - at work,Part time,460,380,0,390,0,380
Ohio,"$75,000 to $99,999",White only,30,Female,Employed - at work,Part time,0,355,0,810,0,355
Virginia,"$35,000 to $39,999",Black only,43,Female,Employed - at work,Full time,480,285,0,490,0,285
New York,"$100,000 to $149,999",White only,32,Male,Employed - at work,Full time,0,400,240,590,0,640
Maine,"$20,000 to $24,999",White only,41,Female,Employed - at work,Full time,0,655,0,660,0,655
North Carolina,"$150,000 and over",Black only,47,Female,Employed - at work,Full time,445,125,0,630,0,125
Indiana,"$60,000 to $74,999",White only,47,Male,Employed - at work,Full time,0,250,0,275,0,250
Ohio,"$75,000 to $99,999",White only,25,Male,Employed - at work,Full time,315,480,0,545,0,480
Georgia,"$35,000 to $39,999",Black only,49,Male,Employed - at work,Full time,584,60,0,616,0,60
Ohio,"$40,000 to $49,999",White only,40,Male,Employed - at work,Full time,0,482,203,680,0,685
Tennessee,"$50,000 to $59,999",Black only,31,Male,Employed - at work,Full time,455,380,60,435,0,440
Washington,"$60,000 to $74,999",White-Asian,23,Female,Employed - at work,Full time,646,66,0,445,0,66
Iowa,"$35,000 to $39,999",Black only,24,Female,Employed - at work,Full time,493,92,0,560,0,92
Wisconsin,"$15,000 to $19,999",White only,37,Male,Employed - at work,Full time,822,59,0,510,0,59
New York,"$12,500 to $14,999",Black only,46,Female,Employed - at work,Full time,0,985,0,430,0,985
North Carolina,"$35,000 to $39,999",White only,44,Female,Employed - at work,Part time,0,120,0,690,0,120
California,"$150,000 and over",White only,30,Male,Employed - at work,Full time,120,592,0,530,0,592
Texas,"$75,000 to $99,999",White only,45,Male,Employed - at work,Full time,675,110,0,465,0,110
Texas,"$25,000 to $29,999",White only,49,Male,Employed - at work,Full time,600,0,0,585,0,0
Tennessee,"$75,000 to $99,999",White only,49,Male,Employed - at work,Full time,635,205,0,380,0,205
California,"$75,000 to $99,999",Asian only,35,Male,Employed - at work,Full time,0,390,0,660,0,390
Texas,"$50,000 to $59,999",Black only,48,Female,Employed - absent,Full time,0,782,0,638,0,782
Minnesota,"$30,000 to $34,999",Black only,29,Male,Employed - at work,Full time,210,390,0,710,0,390
Iowa,"$75,000 to $99,999",White only,42,Female,Employed - at work,Full time,830,0,0,555,0,0
California,"$35,000 to $39,999",White only,23,Female,Employed - at work,Full time,490,370,25,492,0,395
Alabama,"$100,000 to $149,999","American Indian, Alaskan Native",49,Female,Employed - at work,Full time,0,290,0,585,0,290
California,"$50,000 to $59,999",Asian only,27,Male,Employed - at work,Full time,0,572,0,720,0,572
Florida,"$150,000 and over",White only,20,Male,Employed - at work,Full time,260,369,0,504,0,369
New Hampshire,"$25,000 to $29,999",White only,18,Female,Employed - at work,Part time,330,240,150,545,0,390
South Carolina,"$50,000 to $59,999",White only,49,Female,Employed - at work,Full time,559,256,0,455,0,256
New York,"$30,000 to $34,999",White only,39,Male,Employed - at work,Full time,638,75,0,390,0,75
California,"$100,000 to $149,999",White only,47,Male,Employed - at work,Full time,470,248,0,450,0,248
Kansas,"$35,000 to $39,999",White only,27,Female,Employed - at work,Full time,0,344,0,690,0,344
Washington,"$20,000 to $24,999",White only,27,Male,Employed - at work,Full time,482,0,0,568,0,0
Pennsylvania,"Less than $5,000",White only,31,Female,Employed - at work,Full time,390,78,165,575,0,243
Georgia,"$75,000 to $99,999",White only,18,Female,Employed - at work,Part time,251,0,0,529,400,0
Pennsylvania,"$10,000 to $12,499",Black only,44,Male,Employed - at work,Part time,220,524,0,586,0,524
Oregon,"$35,000 to $39,999",White only,47,Female,Employed - absent,Full time,0,195,0,720,0,195
Michigan,"$20,000 to $24,999",Black only,32,Female,Employed - at work,Full time,0,420,150,540,0,570
New York,"$50,000 to $59,999",Black only,47,Female,Employed - at work,Part time,0,594,0,342,0,594
New York,"$100,000 to $149,999",White only,25,Female,Employed - at work,Full time,730,68,60,360,0,128
Indiana,"$100,000 to $149,999",White only,28,Female,Employed - at work,Full time,0,450,0,585,0,450
New York,"$30,000 to $34,999",White only,33,Female,Employed - at work,Full time,0,445,0,630,0,445
Wisconsin,"$30,000 to $34,999",White only,25,Female,Employed - at work,Full time,455,63,90,645,0,153
Illinois,"$20,000 to $24,999",White only,29,Male,Employed - at work,Full time,120,300,0,600,0,300
Ohio,"$100,000 to $149,999",White only,41,Female,Employed - at work,Full time,538,70,0,535,0,70
Iowa,"$75,000 to $99,999",White only,49,Male,Employed - at work,Full time,570,90,0,480,0,90
California,"$30,000 to $34,999",White only,27,Male,Employed - at work,Full time,0,210,90,540,0,300
Georgia,"$75,000 to $99,999",White only,44,Male,Employed - at work,Full time,120,239,0,565,0,239
Delaware,"$60,000 to $74,999",Black only,33,Female,Employed - at work,Full time,570,90,0,540,0,90
Utah,"$30,000 to $34,999",White only,31,Female,Employed - at work,Full time,590,120,0,530,0,120
Pennsylvania,"$50,000 to $59,999",White only,34,Female,Employed - at work,Full time,0,150,0,660,0,150
Indiana,"$100,000 to $149,999",Black only,49,Male,Employed - at work,Full time,585,223,0,300,0,223
New Mexico,"$100,000 to $149,999",White only,36,Female,Employed - at work,Full time,300,150,0,465,0,150
Texas,"$60,000 to $74,999",White only,29,Male,Employed - at work,Full time,490,335,0,440,0,335
New York,"$75,000 to $99,999",White only,24,Male,Employed - at work,Full time,447,90,45,472,0,135
New Jersey,"$40,000 to $49,999",White only,34,Female,Employed - at work,Full time,480,206,0,505,0,206
South Carolina,"$60,000 to $74,999",White only,31,Female,Employed - at work,Full time,600,203,0,532,0,203
California,"$40,000 to $49,999",White only,29,Male,Employed - at work,Full time,530,315,0,480,0,315
Virginia,"$15,000 to $19,999",White only,45,Male,Employed - at work,Full time,714,120,30,444,0,150
Georgia,"$75,000 to $99,999",Black only,32,Male,Employed - at work,Full time,60,240,90,590,0,330
Texas,"$100,000 to $149,999",White only,42,Male,Employed - at work,Full time,0,410,0,660,0,410
Kentucky,"$35,000 to $39,999",White only,30,Female,Employed - at work,Full time,0,320,0,760,0,320
Illinois,"$40,000 to $49,999",White only,47,Male,Employed - at work,Part time,530,345,0,395,0,345
New York,"$50,000 to $59,999",Asian only,45,Female,Employed - at work,Part time,0,120,0,449,510,120
Georgia,"$40,000 to $49,999",Black only,34,Female,Employed - at work,Full time,510,300,0,510,0,300
North Carolina,"$150,000 and over",White only,41,Female,Employed - at work,Full time,485,87,0,615,0,87
Mississippi,"$20,000 to $24,999",White only,22,Female,Employed - at work,Full time,498,70,0,757,0,70
Pennsylvania,"$75,000 to $99,999",White only,36,Male,Employed - at work,Full time,0,240,195,560,0,435
District of Columbia,"$75,000 to $99,999",White only,26,Male,Employed - at work,Full time,0,630,0,696,0,630
California,"$50,000 to $59,999",White-Black,30,Male,Employed - at work,Full time,233,247,0,686,0,247
Minnesota,"$60,000 to $74,999",White only,28,Male,Employed - at work,Full time,635,120,0,565,0,120
Florida,"$35,000 to $39,999",Black only,41,Male,Employed - at work,Full time,705,120,0,535,0,120
Connecticut,"$150,000 and over",Black only,31,Male,Employed - at work,Full time,600,280,0,515,0,280
Alaska,"$75,000 to $99,999",White only,26,Female,Employed - at work,Full time,0,370,150,610,0,520
California,"$100,000 to $149,999",White only,36,Female,Employed - at work,Full time,0,810,0,540,0,810
Florida,"$100,000 to $149,999",White only,45,Male,Employed - at work,Full time,0,330,30,615,0,360
Virginia,"$60,000 to $74,999",White only,24,Male,Employed - at work,Full time,512,163,0,530,0,163
Kansas,"$150,000 and over",White only,40,Male,Employed - at work,Full time,290,275,0,580,0,275
California,"$60,000 to $74,999",Black only,49,Male,Employed - at work,Full time,0,944,0,260,0,944
Maryland,"$100,000 to $149,999",White only,45,Male,Employed - at work,Full time,520,207,60,415,0,267
Missouri,"$40,000 to $49,999",Black only,49,Female,Employed - at work,Full time,90,360,0,500,0,360
Michigan,"$20,000 to $24,999",White only,48,Male,Employed - at work,Full time,10,210,0,725,0,210
Massachusetts,"$150,000 and over",White only,47,Female,Employed - at work,Full time,120,130,120,690,0,250
New Mexico,"$60,000 to $74,999",White only,43,Female,Employed - at work,Full time,535,120,0,610,0,120
Virginia,"$60,000 to $74,999",White only,28,Male,Employed - at work,Full time,510,210,0,510,0,210
New York,"$100,000 to $149,999",White only,38,Male,Employed - at work,Full time,647,15,60,470,0,75
Washington,"$60,000 to $74,999",Asian only,29,Male,Employed - at work,Full time,535,225,15,555,0,240
Texas,"$40,000 to $49,999",White only,41,Female,Employed - at work,Full time,570,270,0,375,0,270
South Dakota,"$20,000 to $24,999",White only,28,Male,Employed - at work,Full time,0,435,0,510,0,435
Texas,"$50,000 to $59,999",White only,18,Female,Employed - at work,Part time,395,0,0,565,385,0
Hawaii,"$35,000 to $39,999",White-Asian,49,Female,Employed - at work,Part time,415,150,145,517,0,295
Iowa,"$40,000 to $49,999",White only,23,Male,Employed - at work,Full time,645,45,0,630,0,45
Virginia,"$30,000 to $34,999",White only,45,Male,Employed - at work,Part time,380,30,0,540,0,30
Nevada,"$75,000 to $99,999",Black only,49,Male,Employed - at work,Full time,0,465,0,840,0,465
Colorado,"$30,000 to $34,999",White only,39,Male,Employed - at work,Full time,0,250,0,675,0,250
California,"$40,000 to $49,999",White only,33,Male,Employed - at work,Full time,615,30,60,605,0,90
Arizona,"$100,000 to $149,999",Asian only,33,Male,Employed - at work,Full time,0,440,45,710,0,485
Missouri,"$60,000 to $74,999",White only,46,Female,Employed - at work,Full time,0,550,0,452,0,550
Florida,"$40,000 to $49,999",White only,25,Male,Employed - at work,Full time,0,245,0,730,0,245
Ohio,"$75,000 to $99,999",White only,31,Male,Employed - at work,Full time,0,275,5,770,0,280
Iowa,"$75,000 to $99,999",White only,46,Male,Employed - at work,Full time,25,205,0,510,0,205
Wisconsin,"$40,000 to $49,999",White only,41,Female,Employed - at work,Full time,545,80,0,540,0,80
New Jersey,"$75,000 to $99,999",White only,19,Female,Employed - at work,Full time,0,588,30,557,0,618
Minnesota,"$20,000 to $24,999",White only,34,Female,Employed - at work,Full time,515,300,0,520,0,300
Maryland,"$150,000 and over",White only,31,Female,Employed - at work,Full time,940,0,60,140,0,60
Illinois,"$75,000 to $99,999",White only,26,Male,Employed - at work,Full time,0,0,0,520,0,0
Georgia,"$35,000 to $39,999",Black only,47,Male,Employed - at work,Full time,525,450,0,420,0,450
Georgia,"$20,000 to $24,999",White only,23,Female,Employed - at work,Full time,0,280,180,615,0,460
Texas,"$60,000 to $74,999",White only,48,Male,Employed - at work,Full time,557,37,0,480,0,37
Massachusetts,"$150,000 and over",White only,38,Female,Employed - at work,Full time,240,60,0,330,0,60
Georgia,"$50,000 to $59,999",Black only,42,Male,Employed - at work,Full time,300,120,0,864,0,120
Tennessee,"$30,000 to $34,999",White only,32,Female,Employed - at work,Full time,585,145,0,520,0,145
Massachusetts,"$75,000 to $99,999",White only,46,Male,Employed - at work,Full time,440,150,0,495,0,150
Arizona,"$75,000 to $99,999",White only,49,Female,Employed - at work,Full time,510,120,0,570,0,120
Colorado,"$5,000 to $7,499",White only,30,Male,Employed - at work,Part time,0,255,0,640,0,255
Oregon,"$30,000 to $34,999",White only,24,Female,Employed - at work,Full time,30,280,0,640,0,280
Louisiana,"$150,000 and over",White only,29,Female,Employed - at work,Full time,605,120,0,525,0,120
Pennsylvania,"$40,000 to $49,999",White only,29,Male,Employed - at work,Full time,910,110,0,316,0,110
Texas,"$40,000 to $49,999",White only,25,Male,Employed - at work,Full time,585,180,0,510,0,180
Texas,"$30,000 to $34,999",White only,49,Female,Employed - at work,Full time,0,210,95,600,0,305
Illinois,"$25,000 to $29,999",White only,34,Male,Employed - at work,Full time,542,270,0,496,0,270
Virginia,"$100,000 to $149,999",Asian only,31,Male,Employed - at work,Full time,442,150,60,545,0,210
Pennsylvania,"$40,000 to $49,999",Black only,43,Female,Employed - at work,Full time,0,233,0,665,0,233
Michigan,"$60,000 to $74,999",White only,27,Male,Employed - at work,Full time,180,185,150,575,0,335
Illinois,"$30,000 to $34,999",Black only,45,Male,Employed - at work,Full time,303,355,0,557,0,355
West Virginia,"$35,000 to $39,999",White only,28,Male,Employed - at work,Full time,495,0,0,530,0,0
Pennsylvania,"$75,000 to $99,999",White only,45,Male,Employed - at work,Full time,450,300,0,330,0,300
Mississippi,"$50,000 to $59,999",White only,27,Male,Employed - at work,Full time,0,275,0,680,0,275
New York,"$60,000 to $74,999",White only,43,Female,Employed - at work,Full time,0,398,30,678,0,428
New York,"$150,000 and over",White only,46,Male,Employed - at work,Full time,60,275,60,570,0,335
California,"$5,000 to $7,499",Asian only,44,Female,Employed - at work,Part time,0,210,30,810,0,240
Wisconsin,"Less than $5,000",White only,19,Male,Employed - at work,Part time,540,60,0,690,0,60
Kansas,"Less than $5,000",Black only,21,Female,Employed - at work,Full time,0,375,0,900,0,375
Washington,"$75,000 to $99,999",White-American Indian,44,Male,Employed - at work,Full time,120,235,175,643,0,410
Arizona,"$35,000 to $39,999",White only,34,Female,Employed - at work,Full time,420,220,0,570,0,220
Florida,"$40,000 to $49,999",White only,47,Female,Employed - at work,Full time,0,190,0,690,0,190
Texas,"$50,000 to $59,999",Black only,48,Female,Employed - at work,Full time,470,15,60,590,0,75
Oregon,"$35,000 to $39,999",White only,22,Male,Employed - at work,Full time,0,350,120,470,0,470
California,"$75,000 to $99,999",Black only,48,Male,Employed - at work,Full time,520,305,30,482,0,335
Tennessee,"$15,000 to $19,999",White only,29,Male,Employed - at work,Full time,0,306,300,540,0,606
Texas,"$75,000 to $99,999",White only,38,Male,Employed - at work,Full time,510,30,45,510,0,75
Alabama,"$20,000 to $24,999",White only,44,Male,Employed - at work,Full time,0,240,0,550,0,240
Texas,"$50,000 to $59,999",White only,44,Male,Employed - at work,Full time,580,155,135,390,0,290
Michigan,"$150,000 and over",White only,22,Male,Employed - at work,Full time,460,0,0,630,0,0
Nebraska,"$35,000 to $39,999",White only,44,Male,Employed - at work,Full time,706,144,0,431,0,144
Florida,"$40,000 to $49,999",White only,37,Male,Employed - at work,Full time,525,140,60,580,0,200
Illinois,"$40,000 to $49,999",White only,41,Female,Employed - at work,Full time,480,60,0,610,0,60
Ohio,"$75,000 to $99,999",White only,44,Female,Employed - at work,Full time,475,35,50,565,0,85
New York,"$50,000 to $59,999",White only,31,Female,Employed - at work,Full time,485,240,0,600,0,240
Minnesota,"$35,000 to $39,999",White only,19,Male,Employed - at work,Full time,0,470,0,710,0,470
New York,"$75,000 to $99,999",Black only,28,Female,Employed - at work,Full time,0,320,0,640,0,320
West Virginia,"$35,000 to $39,999",White only,46,Male,Employed - at work,Full time,720,179,0,451,0,179
New Jersey,"$150,000 and over",White only,24,Female,Employed - at work,Full time,380,85,0,620,0,85
California,"$25,000 to $29,999",Black only,44,Female,Employed - at work,Full time,0,60,0,780,0,60
Florida,"$75,000 to $99,999",White only,42,Female,Employed - at work,Full time,572,135,0,454,0,135
New Jersey,"$25,000 to $29,999",Black only,24,Male,Employed - absent,Part time,135,280,0,720,0,280
Illinois,"$12,500 to $14,999",Black only,34,Female,Employed - at work,Part time,0,390,0,955,0,390
New York,"$100,000 to $149,999",Asian only,26,Male,Employed - at work,Full time,480,60,0,660,0,60
Alabama,"$60,000 to $74,999",White only,28,Female,Employed - at work,Part time,0,315,0,820,0,315
California,"$60,000 to $74,999",White-American Indian,24,Female,Employed - at work,Full time,0,425,203,690,0,628
Colorado,"$40,000 to $49,999",White only,49,Male,Employed - at work,Full time,570,270,0,485,0,270
West Virginia,"$20,000 to $24,999",White only,49,Female,Employed - at work,Part time,325,108,0,573,0,108
Florida,"$25,000 to $29,999",White only,36,Female,Employed - at work,Full time,0,600,0,730,0,600
Nevada,"$150,000 and over",White only,32,Male,Employed - at work,Full time,428,360,0,570,0,360
Kentucky,"$30,000 to $34,999",White only,45,Male,Employed - at work,Full time,735,60,0,460,0,60
Illinois,"$75,000 to $99,999",Asian only,30,Female,Employed - at work,Full time,0,420,0,780,0,420
Pennsylvania,"$40,000 to $49,999",White only,42,Female,Employed - at work,Full time,525,35,0,510,0,35
Colorado,"$60,000 to $74,999",White only,37,Male,Employed - at work,Full time,90,125,0,679,0,125
New York,"$35,000 to $39,999",White only,46,Male,Employed - at work,Full time,440,170,0,515,0,170
Virginia,"$40,000 to $49,999",Black only,49,Female,Employed - at work,Full time,275,25,0,565,0,25
Michigan,"$50,000 to $59,999",White only,35,Female,Employed - at work,Full time,30,210,0,578,0,210
Oregon,"$15,000 to $19,999",White only,33,Female,Employed - at work,Full time,625,10,0,655,0,10
Illinois,"$25,000 to $29,999",Black only,24,Female,Employed - at work,Full time,0,330,60,848,0,390
Alabama,"$12,500 to $14,999",Black only,23,Female,Employed - at work,Full time,0,417,0,871,0,417
Texas,"$75,000 to $99,999",White only,48,Female,Employed - at work,Full time,0,225,0,615,0,225
Missouri,"$60,000 to $74,999",White only,27,Female,Employed - at work,Full time,0,610,0,530,0,610
Ohio,"$7,500 to $9,999",White only,43,Female,Employed - at work,Part time,0,750,0,610,0,750
Texas,"$50,000 to $59,999",White only,30,Female,Employed - at work,Full time,530,225,0,510,0,225
Minnesota,"$25,000 to $29,999",White only,32,Male,Employed - at work,Full time,766,49,0,550,0,49
Illinois,"$75,000 to $99,999",White only,31,Male,Employed - at work,Full time,510,15,105,505,0,120
Alaska,"$35,000 to $39,999",White only,25,Male,Employed - at work,Full time,960,20,0,410,0,20
Texas,"$40,000 to $49,999",White only,26,Male,Employed - at work,Full time,590,105,0,580,0,105
Colorado,"$30,000 to $34,999",White only,40,Male,Employed - at work,Full time,476,98,0,530,0,98
North Carolina,"$35,000 to $39,999",Black only,27,Male,Employed - at work,Full time,0,180,0,825,0,180
Connecticut,"$20,000 to $24,999",White only,44,Female,Employed - at work,Full time,1,614,0,720,0,614
Illinois,"$75,000 to $99,999",White only,49,Female,Employed - at work,Full time,440,330,0,555,0,330
California,"$75,000 to $99,999",Black only,35,Female,Employed - at work,Full time,0,515,0,495,0,515
Indiana,"$30,000 to $34,999",White only,45,Female,Employed - at work,Full time,0,270,0,680,0,270
Georgia,"$40,000 to $49,999",Black only,25,Female,Employed - at work,Full time,635,165,0,570,0,165
Illinois,"$75,000 to $99,999",White only,24,Male,Employed - at work,Full time,510,180,30,510,0,210
Colorado,"$60,000 to $74,999",White only,19,Female,Employed - at work,Full time,0,230,120,420,0,350
Colorado,"$100,000 to $149,999",White only,19,Female,Employed - at work,Part time,410,65,0,740,0,65
Mississippi,"$60,000 to $74,999",White only,31,Male,Employed - at work,Full time,480,300,0,570,0,300
Wisconsin,"$50,000 to $59,999",White only,18,Male,Employed - at work,Full time,475,150,0,565,0,150
Kentucky,"$35,000 to $39,999",White only,48,Male,Employed - at work,Full time,0,224,0,480,0,224
Florida,"$35,000 to $39,999",White only,48,Male,Employed - at work,Full time,530,255,65,510,0,320
Illinois,"$100,000 to $149,999",White only,22,Male,Employed - at work,Full time,615,60,0,635,0,60
Missouri,"$60,000 to $74,999",White only,43,Male,Employed - at work,Full time,0,480,0,570,0,480
Oklahoma,"$50,000 to $59,999",White only,22,Male,Employed - at work,Full time,600,0,0,660,0,0
Texas,"$60,000 to $74,999",White only,27,Male,Employed - at work,Full time,0,195,60,705,0,255
California,"$40,000 to $49,999",White only,29,Male,Employed - at work,Full time,320,240,0,490,0,240
Texas,"$50,000 to $59,999",Black only,33,Male,Employed - at work,Full time,0,375,0,555,0,375
Texas,"$60,000 to $74,999",White only,46,Male,Employed - at work,Full time,0,40,0,570,0,40
California,"$60,000 to $74,999",Black only,26,Female,Employed - at work,Full time,390,265,0,570,0,265
Illinois,"$30,000 to $34,999",Black only,46,Male,Employed - at work,Full time,0,390,0,920,0,390
Minnesota,"$150,000 and over",White only,32,Female,Employed - at work,Full time,0,503,90,460,0,593
Missouri,"$25,000 to $29,999",White only,23,Female,Employed - at work,Full time,0,0,225,750,0,225
North Carolina,"$40,000 to $49,999",White only,43,Male,Employed - at work,Full time,600,70,0,650,0,70
California,"$50,000 to $59,999",White only,46,Female,Employed - at work,Full time,0,440,0,540,0,440
Colorado,"$25,000 to $29,999",White only,18,Male,Employed - at work,Part time,0,822,0,435,0,822
Virginia,"$100,000 to $149,999",Asian only,41,Male,Employed - at work,Full time,630,150,0,290,180,150
Idaho,"$15,000 to $19,999",White only,45,Male,Employed - at work,Full time,0,105,0,673,0,105
Arkansas,"$20,000 to $24,999",White only,44,Female,Employed - at work,Full time,490,258,0,542,0,258
Iowa,"$50,000 to $59,999",White only,27,Male,Employed - at work,Full time,450,0,0,495,0,0
California,"$20,000 to $24,999",Black-American Indian,46,Male,Employed - at work,Part time,375,465,0,600,0,465
Texas,"Less than $5,000",White only,25,Female,Employed - at work,Part time,0,330,0,960,0,330
Pennsylvania,"$60,000 to $74,999",White only,29,Male,Employed - at work,Full time,30,150,90,675,0,240
Oklahoma,"$50,000 to $59,999",White only,35,Female,Employed - at work,Full time,500,470,0,420,0,470
Oregon,"$75,000 to $99,999",White only,36,Female,Employed - at work,Full time,420,130,164,435,0,294
Texas,"$75,000 to $99,999",White only,28,Male,Employed - at work,Full time,480,65,0,540,120,65
Kansas,"$25,000 to $29,999",White only,37,Male,Employed - at work,Full time,1050,0,0,345,0,0
Oregon,"$100,000 to $149,999",White only,36,Female,Employed - at work,Full time,0,235,90,665,0,325
New Jersey,"$100,000 to $149,999",Asian only,34,Female,Employed - at work,Full time,675,0,0,500,0,0
Louisiana,"$25,000 to $29,999",White only,27,Male,Employed - at work,Full time,840,90,0,435,0,90
Illinois,"$25,000 to $29,999",White-Asian,23,Male,Employed - at work,Part time,315,240,120,570,90,360
Tennessee,"$50,000 to $59,999",White only,19,Female,Employed - at work,Full time,340,180,0,730,0,180
Kentucky,"$12,500 to $14,999",White only,37,Male,Employed - at work,Full time,60,739,0,230,0,739
Pennsylvania,"$40,000 to $49,999",White only,40,Female,Employed - at work,Full time,0,455,0,495,0,455
Oklahoma,"$50,000 to $59,999",White only,45,Female,Employed - at work,Full time,535,160,52,565,0,212
Kansas,"$12,500 to $14,999",Asian only,23,Female,Employed - at work,Full time,0,360,0,725,0,360
Louisiana,"$75,000 to $99,999",White only,48,Male,Employed - at work,Full time,0,382,28,555,0,410
Colorado,"$60,000 to $74,999",White only,36,Male,Employed - at work,Full time,365,90,0,540,0,90
Arizona,"$20,000 to $24,999",White only,45,Male,Employed - at work,Full time,335,425,0,510,0,425
Texas,"$150,000 and over",White only,40,Male,Employed - at work,Full time,620,170,0,450,0,170
Minnesota,"$15,000 to $19,999",White only,46,Male,Employed - at work,Part time,235,225,0,662,0,225
North Dakota,"$35,000 to $39,999","American Indian, Alaskan Native",48,Male,Employed - at work,Full time,0,343,0,570,0,343
Pennsylvania,"$50,000 to $59,999",White only,28,Female,Employed - at work,Full time,520,70,0,475,0,70
Alabama,"$30,000 to $34,999",White only,36,Male,Employed - at work,Part time,60,840,0,496,0,840
Illinois,"$150,000 and over",White only,32,Male,Employed - at work,Full time,5,160,0,635,0,160
Louisiana,"$40,000 to $49,999",Black only,47,Male,Employed - at work,Full time,0,300,0,660,0,300
Georgia,"$40,000 to $49,999",White only,32,Female,Employed - at work,Part time,0,308,0,630,0,308
Nevada,"$50,000 to $59,999",White only,27,Male,Employed - at work,Full time,0,450,60,470,0,510
Texas,"$40,000 to $49,999",White only,24,Female,Employed - at work,Full time,480,225,0,570,0,225
Missouri,"$50,000 to $59,999",White only,26,Male,Employed - at work,Full time,659,90,0,480,0,90
Texas,"$50,000 to $59,999",Black only,36,Female,Employed - at work,Full time,120,120,0,885,0,120
Pennsylvania,"$100,000 to $149,999",White only,30,Female,Employed - at work,Full time,720,60,0,445,0,60
Texas,"$20,000 to $24,999",White only,49,Female,Employed - at work,Full time,612,95,0,485,0,95
Pennsylvania,"$60,000 to $74,999",Black only,40,Female,Employed - at work,Full time,2,390,60,488,0,450
Oklahoma,"$75,000 to $99,999",White only,42,Female,Employed - absent,Full time,0,585,0,535,0,585
Illinois,"$40,000 to $49,999",Black only,45,Male,Employed - at work,Full time,0,262,0,510,0,262
California,"$35,000 to $39,999",White only,22,Female,Employed - at work,Part time,495,315,0,540,0,315
Indiana,"$60,000 to $74,999",White only,41,Male,Employed - at work,Full time,450,0,0,320,0,0
California,"$150,000 and over",White only,24,Male,Employed - at work,Part time,581,25,30,365,0,55
Michigan,"$75,000 to $99,999",White only,45,Female,Employed - at work,Full time,525,150,0,585,0,150
Florida,"$20,000 to $24,999",White only,30,Male,Employed - at work,Part time,0,290,0,648,0,290
Colorado,"$75,000 to $99,999",White only,36,Female,Employed - at work,Full time,515,120,0,537,0,120
Florida,"$150,000 and over",White only,25,Male,Employed - at work,Full time,495,80,90,608,0,170
Minnesota,"$60,000 to $74,999",White only,49,Female,Employed - at work,Part time,0,645,0,525,0,645
Maryland,"$20,000 to $24,999",White only,42,Male,Employed - at work,Part time,795,25,40,450,20,65
New Hampshire,"$40,000 to $49,999",White only,45,Male,Employed - at work,Full time,0,565,0,475,0,565
Texas,"$75,000 to $99,999",White only,44,Male,Employed - at work,Full time,600,0,60,490,0,60
Arizona,"$10,000 to $12,499",White only,46,Male,Employed - at work,Full time,0,427,0,514,0,427
California,"$40,000 to $49,999",White only,23,Male,Employed - at work,Part time,0,150,0,785,0,150
California,"$40,000 to $49,999",Asian only,30,Male,Employed - at work,Full time,30,300,120,530,0,420
Alabama,"$35,000 to $39,999",Black only,39,Male,Employed - at work,Part time,0,360,0,717,0,360
Texas,"$25,000 to $29,999",Black only,24,Male,Employed - at work,Full time,683,90,0,565,0,90
New York,"$75,000 to $99,999",White only,20,Female,Employed - at work,Part time,485,510,0,400,0,510
Texas,"$20,000 to $24,999",White only,32,Male,Employed - at work,Full time,0,0,0,390,0,0
Florida,"$150,000 and over",White only,21,Male,Employed - at work,Full time,510,210,0,540,0,210
Washington,"$60,000 to $74,999",White only,25,Male,Employed - at work,Full time,295,10,150,574,0,160
Michigan,"$35,000 to $39,999",White only,32,Male,Employed - at work,Full time,670,215,0,395,0,215
Massachusetts,"$60,000 to $74,999",Black only,33,Male,Employed - at work,Full time,639,0,100,350,0,100
Alabama,"$75,000 to $99,999",White only,47,Female,Employed - at work,Full time,540,70,0,565,0,70
California,"$7,500 to $9,999",White only,29,Female,Employed - at work,Full time,545,225,0,555,0,225
South Carolina,"$25,000 to $29,999",White only,34,Male,Employed - at work,Full time,217,315,118,556,0,433
